dialogue_id,dialogue_type,owner_id,sequence,text_key,show_portrait,portrait_address
10001,opening,0,1,demon.opening.01,true,portrait/demon_opening
10002,opening,0,2,demon.opening.02,true,portrait/demon_opening
10003,opening,0,3,demon.opening.03,true,portrait/demon_opening
10004,opening,0,4,demon.opening.04,true,portrait/demon_opening
10005,opening,0,5,demon.opening.05,true,portrait/demon_opening
10006,opening,0,6,demon.opening.06,true,portrait/demon_opening
10007,opening,0,7,demon.opening.07,true,portrait/demon_opening
10008,opening,0,8,demon.opening.08,true,portrait/demon_opening
11001,case_story,1001,1,case.1001.story.01,false,
11002,case_story,1002,1,case.1002.story.01,false,
11003,case_story,1003,1,case.1003.story.01,false,
12001,case_truth,1001,1,case.1001.truth.01,true,portrait/demon_hurt
12002,case_truth,1002,1,case.1002.truth.01,true,portrait/demon_hurt
12003,case_truth,1003,1,case.1003.truth.01,true,portrait/demon_hurt
22001,demon_defeat,2001,1,demon.2001.defeat,true,portrait/demon_defeat
22002,demon_defeat,2002,1,demon.2002.defeat,true,portrait/demon_defeat
22003,demon_defeat,2003,1,demon.2003.defeat,true,portrait/demon_defeat
